unit,question,option_a,option_b,option_c,option_d,correct_option,explanation,difficulty,year
1,Which of the following is NOT a noble gas?,Neon,Argon,Oxygen,Helium,c,"Oxygen is not a noble gas. The noble gases are helium, neon, argon, krypton, xenon, and radon.",easy,2022
1,The concept of 'survival of the fittest' is associated with which scientist?,Charles Darwin,Gregor Mendel,Louis Pasteur,Alexander Fleming,a,The concept of 'survival of the fittest' is associated with Charles Darwin's theory of evolution by natural selection.,medium,2021
2,Who is the current Chief Minister of Tamil Nadu as of January 2024?,Edappadi K. Palaniswami,O. Panneerselvam,M.K. Stalin,Jayalalithaa,c,"M.K. Stalin is the current Chief Minister of Tamil Nadu. He took office on May 7, 2021.",easy,2023
3,Sample question 1 for Unit 3 (Geography),Option A,Option B,Option C,Option D,b,"Explanation for sample question 1, Unit 3",easy,2023
3,Sample question 2 for Unit 3 (Geography),Option A,Option B,Option C,Option D,a,"Explanation for sample question 2, Unit 3",easy,2021
4,Sample question 1 for Unit 4 (History and Culture of India),Option A,Option B,Option C,Option D,b,"Explanation for sample question 1, Unit 4",easy,2023
4,Sample question 2 for Unit 4 (History and Culture of India),Option A,Option B,Option C,Option D,c,"Explanation for sample question 2, Unit 4",hard,2022
5,Sample question 1 for Unit 5 (Indian Polity),Option A,Option B,Option C,Option D,b,"Explanation for sample question 1, Unit 5",medium,2023
5,Sample question 2 for Unit 5 (Indian Polity),Option A,Option B,Option C,Option D,b,"Explanation for sample question 2, Unit 5",hard,2022
6,Sample question 1 for Unit 6 (Indian Economy),Option A,Option B,Option C,Option D,b,"Explanation for sample question 1, Unit 6",easy,2023
6,Sample question 2 for Unit 6 (Indian Economy),Option A,Option B,Option C,Option D,b,"Explanation for sample question 2, Unit 6",medium,2021
7,Sample question 1 for Unit 7 (Indian National Movement),Option A,Option B,Option C,Option D,c,"Explanation for sample question 1, Unit 7",hard,2023
7,Sample question 2 for Unit 7 (Indian National Movement),Option A,Option B,Option C,Option D,d,"Explanation for sample question 2, Unit 7",easy,2021
8,Sample question 1 for Unit 8 (Mental Ability & Aptitude),Option A,Option B,Option C,Option D,b,"Explanation for sample question 1, Unit 8",easy,2023
8,Sample question 2 for Unit 8 (Mental Ability & Aptitude),Option A,Option B,Option C,Option D,c,"Explanation for sample question 2, Unit 8",easy,2023
